"Story","Title","Result","Date","Stability","Duration (s)"
"Check added products","Check a product","SUCCESS","2022-11-09T12:44:08.2231693+07:00[Asia/Bangkok]","0.0","23.04"
"Search","Search product","SUCCESS","2022-11-09T12:46:42.9648972+07:00[Asia/Bangkok]","0.0","15.88"
