"Story","Title","Result","Date","Stability","Duration (s)"
"Add Product","Add product to cart","SUCCESS","2022-11-09T19:13:50.5771705+07:00[Asia/Bangkok]","0.0","48.26"
"Add Product","Add second product to cart","SUCCESS","2022-11-09T19:14:38.8782941+07:00[Asia/Bangkok]","0.0","34.29"
